num,direction,entry_price,exit_price,position_size,pnl,pnl_pct,tp_hits,partial_exits,exit_reason,pattern,sl_outcome
1,short,0.611976531875961,0.6130928347051305,1000000.0,-1116.3028291695243,-0.18240941784934053,0,0,stop_loss,Pure SL (Loss),Loss
2,short,0.6136717873802192,0.6137686320444293,1000000.0,-96.84466421011618,-0.015781182417322553,0,0,stop_loss,Pure SL (Loss),Loss
3,short,0.6137494347349591,0.6137972841427365,1000000.0,-47.849407777356134,-0.007796244700089926,0,0,stop_loss,Pure SL (Breakeven),Breakeven
4,short,0.6135971185886485,0.6136555046032122,3000000.0,28.291513489044917,0.0015369212485938115,0,1,stop_loss,Partial Exit → SL (Breakeven),Breakeven
5,long,0.6145914488480575,0.6158820908906384,3000000.0,4732.6725068883725,0.25668393292047514,0,4,take_profit_1,,
6,long,0.6160319597302791,0.6149002871094668,1000000.0,-1131.672620812374,-0.1837035567615454,0,0,stop_loss,Pure SL (Loss),Loss
7,long,0.6174594155400475,0.6187560803126816,1000000.0,1818.4909966921105,0.29451182554267263,0,4,take_profit_1,,
8,long,0.6187108259304439,0.6176875247821637,1000000.0,-1023.3011482801979,-0.1653924750292374,0,0,stop_loss,Pure SL (Loss),Loss
9,long,0.6179752815741462,0.6192730296654518,1000000.0,1520.6276909243697,0.2460661026847109,0,4,take_profit_1,,
10,long,0.6221162068889131,0.621061999475884,1000000.0,-441.06724007080487,-0.07089788614839336,0,1,stop_loss,Partial Exit → SL (Loss),Loss
11,long,0.6179862618861751,0.6190607845509561,1000000.0,1074.5226647810302,0.17387484658662897,0,0,stop_loss,Pure SL (Profit),Profit
12,long,0.6185367208489888,0.618950153880575,3000000.0,1240.2990947584235,0.06684049914104902,0,0,stop_loss,Pure SL (Profit),Profit
13,short,0.6188228383407096,0.6198242531193177,3000000.0,-3004.2443358241353,-0.16182576281334485,0,0,stop_loss,Pure SL (Loss),Loss
14,long,0.6233261771556335,0.6246351621276603,1000000.0,1666.7566609474513,0.2673971865826664,0,4,take_profit_1,,
15,long,0.6256495523561305,0.6245012786354118,3000000.0,-3444.821162156053,-0.18353305239241458,0,0,stop_loss,Pure SL (Loss),Loss
16,long,0.6249421883852635,0.6262545669808726,3000000.0,4707.397927548043,0.25108444775833855,0,4,take_profit_1,,
17,long,0.6273955816270294,0.6287131123484461,1000000.0,1566.5134772828703,0.2496851305870564,0,4,take_profit_1,,
18,long,0.62903531633352,0.6278981759075967,1000000.0,-1137.1404259232777,-0.18077529137018372,0,0,stop_loss,Pure SL (Loss),Loss
19,short,0.6268506149396248,0.6255342286482516,1000000.0,1663.1253585356617,0.26531446550400944,0,4,take_profit_1,,
20,short,0.6260609594819545,0.6271146989667122,1000000.0,-1053.739484757732,-0.16831260100129355,0,0,stop_loss,Pure SL (Loss),Loss
21,long,0.6282562501271856,0.6295755882524526,1000000.0,1653.8822020431853,0.26324962174405264,0,4,take_profit_1,,
22,long,0.6295726127741181,0.6283889137433545,1000000.0,-1183.699030763652,-0.188016283864042,0,0,stop_loss,Pure SL (Loss),Loss
23,short,0.6281172408621564,0.628881440410231,1000000.0,-357.82421269839887,-0.056967742551891715,0,1,stop_loss,Partial Exit → SL (Loss),Loss
24,short,0.6289988646522342,0.628772494992026,1000000.0,226.36966020816996,0.03598888216329722,0,0,stop_loss,Pure SL (Profit),Profit
25,short,0.6283885839993955,0.6288099361099897,1000000.0,-200.27319429765214,-0.031870915449005804,0,1,stop_loss,Partial Exit → SL (Loss),Loss
26,short,0.6259039829646276,0.6269652516781142,1000000.0,-1061.2687134866628,-0.16955775044918345,0,0,stop_loss,Pure SL (Loss),Loss
27,short,0.6243436490591908,0.6253791158122737,1000000.0,-1035.4667530828588,-0.1658488485697228,0,0,stop_loss,Pure SL (Loss),Loss
28,long,0.6272789071508424,0.6285961928558592,1000000.0,1588.2734881886042,0.253200525329743,0,4,take_profit_1,,
29,short,0.6271801172830929,0.6279932606377655,1000000.0,-290.6673442100316,-0.046345114617023474,0,1,stop_loss,Partial Exit → SL (Loss),Loss
30,long,0.6296054965305014,0.6286024541930121,1000000.0,-380.15222118325755,-0.060379431767689624,0,1,stop_loss,Partial Exit → SL (Loss),Loss
31,short,0.6280489292503764,0.6267300264989506,1000000.0,1546.2603765357119,0.24620062299625123,0,4,take_profit_1,,
32,short,0.6248728835579772,0.6259555869980125,3000000.0,-3248.110320105746,-0.1732677907017536,0,0,stop_loss,Pure SL (Loss),Loss
33,short,0.6272822642836926,0.6282412517132,1000000.0,-404.17436415139844,-0.06443261465600882,0,1,stop_loss,Partial Exit → SL (Loss),Loss
34,short,0.6293385390974383,0.6280975659610097,1000000.0,1240.9731364285692,0.19718689692964023,0,0,stop_loss,Pure SL (Profit),Profit
35,short,0.629327160947688,0.6281309776535158,1000000.0,1196.1832941722594,0.19007336221925603,0,0,stop_loss,Pure SL (Profit),Profit
36,long,0.6300127818697805,0.6288227078019246,1000000.0,-1190.074067855873,-0.18889681322399796,0,0,stop_loss,Pure SL (Loss),Loss
37,long,0.6285745596958225,0.6273798088144809,1000000.0,-478.58779012035285,-0.07613858733830228,0,1,stop_loss,Partial Exit → SL (Loss),Loss
38,long,0.627253420867411,0.6281119286687136,1000000.0,858.5078013025882,0.13686777508768022,0,0,stop_loss,Pure SL (Profit),Profit
39,short,0.6268508816400153,0.6255344947885713,3000000.0,4771.841772404142,0.2537467794530699,0,4,take_profit_1,,
40,short,0.6285272816206414,0.6276611509071673,1000000.0,866.1307134740781,0.13780320103859012,0,0,stop_loss,Pure SL (Profit),Profit
41,short,0.6292401011980627,0.6277484111021644,1000000.0,1491.6900958983347,0.23706214735173128,0,0,stop_loss,Pure SL (Profit),Profit
42,long,0.6301076829714735,0.6289801180844051,3000000.0,-3382.694661204999,-0.17894796675878347,0,0,stop_loss,Pure SL (Loss),Loss
43,long,0.6290933735607869,0.6304144696452645,1000000.0,1613.6718485731772,0.25650752597177917,0,4,take_profit_1,,
44,long,0.6314667586398576,0.6327928388330013,1000000.0,1558.0890400593107,0.24674126052420298,0,4,take_profit_1,,
45,long,0.6334384937147987,0.6347687145515998,1000000.0,1627.6157025495718,0.25694928847857396,0,4,take_profit_1,,
46,long,0.6360541113686743,0.6349719765976946,3000000.0,-3246.4043129392107,-0.17013250156518556,0,0,stop_loss,Pure SL (Loss),Loss
47,long,0.6365484740515764,0.6354618787826699,1000000.0,-473.4152671876024,-0.07437222560198045,0,1,stop_loss,Partial Exit → SL (Loss),Loss
48,short,0.635259228878309,0.6339251844976646,1000000.0,1647.1494666799615,0.2592877666001593,0,4,take_profit_1,,
49,short,0.6341848944250684,0.6352962372067663,3000000.0,-3334.028345093665,-0.1752395541848085,0,0,stop_loss,Pure SL (Loss),Loss
50,short,0.6352727728667317,0.6356817255790734,1000000.0,-408.95271234175914,-0.064374349068404,0,0,stop_loss,Pure SL (Loss),Loss
51,short,0.635723380672429,0.6357044952897222,1000000.0,122.6688283150923,0.019295944123581044,0,1,stop_loss,Partial Exit → SL (Profit),Profit
52,long,0.6358748355299154,0.6349104017509537,1000000.0,-964.4337789617152,-0.15167037993538313,0,0,stop_loss,Pure SL (Loss),Loss
53,long,0.6362969669432508,0.6352076351904744,1000000.0,-1089.331752776368,-0.17119863984414088,0,0,stop_loss,Pure SL (Loss),Loss
54,short,0.634698482041739,0.635752920821979,1000000.0,-1054.4387802400302,-0.166132236026159,0,0,stop_loss,Pure SL (Loss),Loss
55,long,0.6363796181184117,0.6377160153164604,1000000.0,1814.8592469923442,0.2851850051952248,0,4,take_profit_1,,
56,long,0.637375435743164,0.6387139241582247,1000000.0,1570.8097356659523,0.24644968217741667,0,4,take_profit_1,,
57,long,0.6393321551251936,0.6406747526509565,1000000.0,1602.3603591914034,0.25063034079329705,0,4,take_profit_1,,
58,short,0.6371511687708572,0.6358131513164385,1000000.0,1625.3229742574292,0.25509220635863805,0,4,take_profit_1,,
59,short,0.6352620801757222,0.6364174293457272,3000000.0,-3466.0475100151134,-0.18186968907154863,0,0,stop_loss,Pure SL (Loss),Loss
60,short,0.6365995363735572,0.6375787430825312,1000000.0,-979.2067089740009,-0.15381831952818162,0,0,stop_loss,Pure SL (Loss),Loss
61,long,0.6387918296042542,0.6377588254118143,1000000.0,-1033.0041924399013,-0.16171217986301897,0,0,stop_loss,Pure SL (Loss),Loss
62,short,0.636320207551573,0.6349839351157147,1000000.0,1784.9782035188266,0.28051571871134645,0,4,take_profit_1,,
63,short,0.6348950252381075,0.6360708042311018,1000000.0,-1175.7789929943697,-0.18519266118889688,0,0,stop_loss,Pure SL (Loss),Loss
64,short,0.6344204560825172,0.6354865758866234,1000000.0,-1066.1198041062025,-0.1680462529044832,0,0,stop_loss,Pure SL (Loss),Loss
65,short,0.6352233236351948,0.6353992132498775,1000000.0,-175.88961468262278,-0.027689413807424238,0,0,stop_loss,Pure SL (Loss),Loss
66,short,0.6351741293703906,0.6355355448393127,1000000.0,-154.98567194888733,-0.02440050134008373,0,1,stop_loss,Partial Exit → SL (Loss),Loss
67,short,0.6336348129441566,0.6348063724974488,1000000.0,-516.0566291341052,-0.08144385671239723,0,1,stop_loss,Partial Exit → SL (Loss),Loss
68,short,0.6344639415392671,0.6331315672620347,1000000.0,1442.4512424182358,0.22734960144759658,0,4,take_profit_1,,
69,short,0.6330134972201628,0.6340629494718028,1000000.0,-1049.452251639993,-0.16578671011733456,0,0,stop_loss,Pure SL (Loss),Loss
70,long,0.6333751396492154,0.6338394937032107,1000000.0,464.35405399525285,0.07331422168739175,0,0,stop_loss,Pure SL (Profit),Profit
71,short,0.6335732917031744,0.6322427877905977,1000000.0,1674.6851354985201,0.2643238213209121,0,4,take_profit_1,,
72,short,0.6324727855388,0.6336240586992075,1000000.0,-1151.273160407418,-0.18202730405651443,0,0,stop_loss,Pure SL (Loss),Loss
73,short,0.6313142449336961,0.6323179650924086,1000000.0,1097.3651700107246,0.17382233631144747,0,3,stop_loss,Partial Exit → SL (Profit),Profit
74,short,0.6323243037244406,0.6309964226866193,1000000.0,1570.1224565085338,0.24830968021636793,0,4,take_profit_1,,
75,short,0.6306916905190199,0.6293672379689299,1000000.0,1552.6658958656135,0.2461846127365126,0,4,take_profit_1,,
76,short,0.6266484366946756,0.6253324749776168,1000000.0,1727.9862091311925,0.27575050186762473,0,4,take_profit_1,,
77,short,0.6253933691632027,0.62408004308796,3000000.0,4676.113915041458,0.24923587540314857,0,4,take_profit_1,,
78,short,0.6236978069045844,0.6223880415100848,3000000.0,4640.2320572025665,0.24799574440449312,0,4,take_profit_1,,
79,short,0.6221027575786301,0.6207963417877149,1000000.0,1548.3616339539353,0.2488916204101911,0,4,take_profit_1,,
80,short,0.619735807825635,0.6208098897758958,1000000.0,-1074.081950260819,-0.1733128756960605,0,0,stop_loss,Pure SL (Loss),Loss
81,short,0.6215743303760033,0.6212982335532511,1000000.0,276.09682275220314,0.04441895510472359,0,0,stop_loss,Pure SL (Profit),Profit
82,long,0.6219689610265848,0.6232750958447406,1000000.0,1554.1163312012206,0.24987040006563815,0,4,take_profit_1,,
83,long,0.6243029501503742,0.6231612519269908,1000000.0,-511.8113592903473,-0.08198124951468973,0,1,stop_loss,Partial Exit → SL (Loss),Loss
84,long,0.6213514338498491,0.6229018577285267,1000000.0,1550.4238786775427,0.24952447105034053,0,0,stop_loss,Pure SL (Profit),Profit
85,short,0.6219402502191336,0.6206341756936734,1000000.0,1599.9963525196592,0.25725885275248206,0,4,take_profit_1,,
86,short,0.620956533186747,0.6196525244670549,1000000.0,1583.5245841217604,0.2550137569203302,0,4,take_profit_1,,
87,short,0.6194495215870233,0.620555371065089,1000000.0,-1105.8494780656902,-0.1785213224852471,0,0,stop_loss,Pure SL (Loss),Loss
88,short,0.6205048394834081,0.6215285063302911,1000000.0,-1023.6668468830424,-0.1649732253072,0,0,stop_loss,Pure SL (Loss),Loss
89,long,0.6224197515960722,0.623726833074424,1000000.0,1686.7926368644416,0.27100564089410656,0,4,take_profit_1,,
90,long,0.6237931695625938,0.6226442481144402,3000000.0,-3446.7643444607843,-0.18418307609222828,0,0,stop_loss,Pure SL (Loss),Loss
91,long,0.6207179755426098,0.621427692835894,1000000.0,709.7172932842843,0.1143381247601013,0,0,stop_loss,Pure SL (Profit),Profit
92,short,0.621002993073134,0.62214059702901,1000000.0,-427.9069363027343,-0.06890577679588426,0,1,stop_loss,Partial Exit → SL (Loss),Loss
93,long,0.623789223425118,0.6250991807943107,1000000.0,1547.9140652118538,0.24814697129785715,0,4,take_profit_1,,
94,long,0.6249709942698365,0.6262834333578031,3000000.0,5688.859764122779,0.30341993555339125,0,4,take_profit_1,,
95,long,0.6265588538879393,0.6254589805660608,3000000.0,1389.6797198570268,0.07393185339433798,0,2,stop_loss,Partial Exit → SL (Profit),Profit
96,long,0.6246850598449916,0.6238395210998715,1000000.0,-845.5387451200558,-0.1353544048788147,0,0,stop_loss,Pure SL (Loss),Loss
97,long,0.6243112277788335,0.625622281357169,1000000.0,1528.537875537065,0.24483587792826947,0,4,take_profit_1,,
98,long,0.6272374617245566,0.6285546603941782,1000000.0,1677.7643138216347,0.26748471132586843,0,4,take_profit_1,,
99,long,0.6283962813431162,0.6297159135339367,3000000.0,4932.789077051945,0.2616602094095116,0,4,take_profit_1,,
100,long,0.6316332841536663,0.6305863659982434,1000000.0,-1046.9181554229046,-0.165747781456084,0,0,stop_loss,Pure SL (Loss),Loss
101,long,0.6302595562527309,0.6315831013208616,1000000.0,1627.256054048205,0.25818823973462823,0,4,take_profit_1,,
102,long,0.6323359740043895,0.6336638795497986,1000000.0,1632.7550685065596,0.2582100553550391,0,4,take_profit_1,,
103,long,0.6339744540617509,0.6329449288801553,1000000.0,-1029.525181595603,-0.16239221864534692,0,0,stop_loss,Pure SL (Loss),Loss
104,short,0.6316614307872997,0.6303349417826464,1000000.0,1574.3962744157448,0.24924685878848496,0,4,take_profit_1,,
105,short,0.6305128957823232,0.6315406528051993,3000000.0,-3083.2710686284904,-0.1630033310581143,0,0,stop_loss,Pure SL (Loss),Loss
106,short,0.6316017158415493,0.632079679179589,1000000.0,-477.963338039622,-0.07567480044014466,0,0,stop_loss,Pure SL (Loss),Loss
107,short,0.6313789792797586,0.6300530834232712,1000000.0,1516.9000602429296,0.24025191050442052,0,4,take_profit_1,,
108,short,0.6296618454198977,0.6307483313310995,1000000.0,328.2594376335601,0.052132655014955884,0,2,stop_loss,Partial Exit → SL (Profit),Profit
109,short,0.6311937966982072,0.6311817321613951,1000000.0,279.9361500725028,0.04435026952686431,0,1,stop_loss,Partial Exit → SL (Profit),Profit
110,short,0.630144215796366,0.631271227946649,1000000.0,1206.7009743917436,0.19149600109662746,0,3,stop_loss,Partial Exit → SL (Profit),Profit
111,long,0.6317370321259214,0.6307273835763031,1000000.0,-391.68512979827267,-0.062001293240665965,0,1,stop_loss,Partial Exit → SL (Loss),Loss
112,short,0.6305547140760259,0.6292305491764663,1000000.0,1609.4788956526097,0.2552480950064795,0,4,take_profit_1,,
113,short,0.627328662030899,0.6283728920801019,5000000.0,-5221.150246014772,-0.16645661395772812,0,0,stop_loss,Pure SL (Loss),Loss
114,short,0.6276246581185343,0.6263066463364854,1000000.0,1758.4688433447704,0.2801784188365434,0,4,take_profit_1,,
115,long,0.6295659604671187,0.628436898633617,1000000.0,-1129.0618335016989,-0.1793397204423139,0,0,stop_loss,Pure SL (Loss),Loss
116,long,0.6274478848088931,0.6279180014137662,1000000.0,470.11660487306096,0.0749252035515664,0,0,stop_loss,Pure SL (Profit),Profit
117,long,0.6269026964177757,0.6278639733557839,1000000.0,966.5657305994857,0.15418114104829983,0,1,stop_loss,Partial Exit → SL (Profit),Profit
118,long,0.6300612774388342,0.6313844061214557,1000000.0,1718.675840980004,0.2727791569680858,0,4,take_profit_1,,
119,long,0.6308304881194816,0.6321552321445325,1000000.0,1598.4355053714662,0.2533858992986269,0,4,take_profit_1,,
120,long,0.6322531370937245,0.6312392992520476,1000000.0,-1013.8378416769677,-0.16035315322234256,0,0,stop_loss,Pure SL (Loss),Loss
121,short,0.6305602455881929,0.6292360690724577,1000000.0,1627.8157946815318,0.2581538887157545,0,4,take_profit_1,,
122,short,0.6299674151437229,0.628644483571921,3000000.0,4827.447760537226,0.2554337279723098,0,4,take_profit_1,,
123,short,0.6284398976618188,0.627120173876729,3000000.0,4661.978326917457,0.24727786721068426,0,4,take_profit_1,,
124,short,0.6286297421913161,0.6296717287895757,1000000.0,-397.9160976996143,-0.06329896137470906,0,1,stop_loss,Partial Exit → SL (Loss),Loss
125,long,0.632102076916774,0.6334294912782992,1000000.0,1590.65483537448,0.2516452474153022,0,4,take_profit_1,,
126,long,0.6350167773362396,0.6363503125686457,1000000.0,1562.1633591229665,0.24600347815626383,0,4,take_profit_1,,
127,long,0.6373150803161083,0.6386534419847721,3000000.0,4821.304642984467,0.25216750666944315,0,4,take_profit_1,,
128,long,0.6388305502867508,0.6376484208198645,5000000.0,-5910.6473344316955,-0.18504585705172027,0,0,stop_loss,Pure SL (Loss),Loss
129,long,0.6368330791525564,0.63719850900573,1000000.0,365.42985317367106,0.05738236048604043,0,0,stop_loss,Pure SL (Profit),Profit
130,short,0.6369975457864936,0.6378490929343622,1000000.0,-851.5471478686143,-0.13368138598041515,0,0,stop_loss,Pure SL (Loss),Loss
131,long,0.638661495911562,0.6376305415502518,1000000.0,-1030.9543613101769,-0.16142422361609493,0,0,stop_loss,Pure SL (Loss),Loss
132,short,0.6367300900065576,0.6353929568175438,1000000.0,1706.591559287607,0.26802433025743,0,4,take_profit_1,,
133,short,0.634874550218263,0.6360480626106407,3000000.0,-3520.5371771331875,-0.18484161823375786,0,0,stop_loss,Pure SL (Loss),Loss
134,short,0.6359216517036241,0.6345862162350465,1000000.0,1675.7261760877973,0.26351142025099367,0,4,take_profit_1,,
135,short,0.6330322546061589,0.6341185696831522,1000000.0,-466.38708155309797,-0.07367508972244405,0,1,stop_loss,Partial Exit → SL (Loss),Loss
136,short,0.6357656469756175,0.6340989711032112,1000000.0,1666.67587240632,0.26215255264810483,0,0,stop_loss,Pure SL (Profit),Profit
137,long,0.6343713396283531,0.6357035194415727,1000000.0,1608.815937730803,0.2536079165671843,0,4,take_profit_1,,
138,long,0.6361749157320962,0.6350145235274761,1000000.0,-1160.3922046200532,-0.18240143959223845,0,0,stop_loss,Pure SL (Loss),Loss
139,long,0.634318471568299,0.634299846961217,1000000.0,-18.624607082018407,-0.0029361602912131245,0,0,stop_loss,Pure SL (Breakeven),Breakeven
140,long,0.6334322731065509,0.6341716260257828,1000000.0,739.3529192318838,0.11672170027047482,0,0,stop_loss,Pure SL (Profit),Profit
141,short,0.6340436978092713,0.6327122060438718,1000000.0,1639.4971248050038,0.2585779387871443,0,4,take_profit_1,,
142,short,0.6319937215847399,0.6306665347694119,3000000.0,4707.729210416491,0.2483004208022691,0,4,take_profit_1,,
143,short,0.6287852513583948,0.6274648023305421,3000000.0,5312.932457533225,0.28165060837837413,0,4,take_profit_1,,
144,short,0.6285167791342766,0.6296851085366617,1000000.0,-1168.329402385093,-0.18588674816197556,0,0,stop_loss,Pure SL (Loss),Loss
145,short,0.6291267177810687,0.6302763371525031,1000000.0,-1149.6193714344295,-0.1827325622871557,0,0,stop_loss,Pure SL (Loss),Loss
146,short,0.6303022290926336,0.6305682477474259,1000000.0,-266.01865479236596,-0.042204936380332875,0,0,stop_loss,Pure SL (Loss),Loss
147,short,0.630241955141297,0.6304465134408294,1000000.0,61.59113594133126,0.009772617554082519,0,1,stop_loss,Partial Exit → SL (Profit),Profit
148,short,0.6278639458400298,0.6265454315537657,1000000.0,1537.6312706112383,0.2448988002574372,0,4,take_profit_1,,
149,short,0.6271205221504546,0.6282745687933167,1000000.0,-1154.0466428621166,-0.18402310275300568,0,0,stop_loss,Pure SL (Loss),Loss
150,short,0.6283812243223769,0.6282422343420284,1000000.0,225.5273132178304,0.03589020557720048,0,1,stop_loss,Partial Exit → SL (Profit),Profit
151,long,0.6293037836046107,0.6281354637525247,1000000.0,-1168.319852085986,-0.18565276143644435,0,0,stop_loss,Pure SL (Loss),Loss
152,long,0.6292762884527637,0.6282761693799482,1000000.0,-414.7549681984153,-0.06590983576040918,0,1,stop_loss,Partial Exit → SL (Loss),Loss
153,short,0.6270656199166587,0.6280985387364878,1000000.0,-1032.9188198291429,-0.1647226043051802,0,0,stop_loss,Pure SL (Loss),Loss
154,short,0.6283890349905581,0.6288751218465701,1000000.0,-240.1966466438821,-0.03822419445105232,0,1,stop_loss,Partial Exit → SL (Loss),Loss
155,long,0.6316581064919389,0.6304901136139588,3000000.0,-3503.978633940252,-0.18490903005532627,0,0,stop_loss,Pure SL (Loss),Loss
156,long,0.631055889098143,0.6298602437024882,1000000.0,-1195.645395654865,-0.1894674332829047,0,0,stop_loss,Pure SL (Loss),Loss
157,long,0.6328499617153995,0.6317374554422994,1000000.0,-1112.5062731001112,-0.175793053709691,0,0,stop_loss,Pure SL (Loss),Loss
158,long,0.6317951158194267,0.6310437063580093,1000000.0,-751.4094614173849,-0.11893245810278552,0,0,stop_loss,Pure SL (Loss),Loss
159,short,0.6291405464241021,0.6303148180320531,1000000.0,-509.3816573734822,-0.08096468432509979,0,1,stop_loss,Partial Exit → SL (Loss),Loss
160,short,0.6309465261948265,0.6301143134567093,1000000.0,832.2127381171773,0.13189909185112195,0,0,stop_loss,Pure SL (Profit),Profit
161,long,0.6308873278168871,0.6298846932758364,1000000.0,-433.283322076663,-0.06867839992538605,0,1,stop_loss,Partial Exit → SL (Loss),Loss
162,short,0.6281659954956536,0.6293066461198978,1000000.0,-1140.650624244288,-0.18158426792017915,0,0,stop_loss,Pure SL (Loss),Loss
163,short,0.6296404158604583,0.6296932362005273,1000000.0,4.347606104984081,0.0006904903172460269,0,1,stop_loss,Partial Exit → SL (Breakeven),Breakeven
164,short,0.6296504223111458,0.6297242499153621,1000000.0,-73.8276042163699,-0.011725173461392124,0,0,stop_loss,Pure SL (Loss),Loss
165,long,0.6308274814690714,0.6296341217883696,1000000.0,-1193.3596807017777,-0.1891736989521574,0,0,stop_loss,Pure SL (Loss),Loss
166,short,0.6279719581548008,0.6291345197938012,1000000.0,-1162.5616390004145,-0.18512954661485576,0,0,stop_loss,Pure SL (Loss),Loss
167,short,0.6295699829817735,0.6292697988833683,1000000.0,300.18409840515403,0.04768081492440605,0,0,stop_loss,Pure SL (Profit),Profit
168,short,0.628886539984757,0.62761,1000000.0,964.4001619965713,0.15335042184556003,0,2,end_of_data,End of Data,
